,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
47,2018-03-16-01,155568,1010.742,6281.96,452.53,437.707,4.965,0.875,1.034,0.967,0.994
48,2018-03-16-01,157464,1947.471,6283.854,463.395,432.653,5.492,0.87,1.071,0.934,0.993
49,2018-03-16-01,157333,3819.952,6287.112,459.868,435.609,2.343,0.883,1.056,0.947,0.994
50,2018-03-16-01,157630,2883.309,6285.52,465.408,431.236,1.148,0.877,1.079,0.927,0.994
51,2018-03-16-01,154458,4763.415,6290.543,461.445,426.188,179.352,0.875,1.083,0.924,0.994
52,2018-03-16-01,156824,5711.336,6293.941,464.477,429.891,174.988,0.87,1.08,0.926,0.993
53,2018-03-16-01,153921,544.972,7093.702,451.231,434.32,14.181,0.868,1.039,0.963,0.993
54,2018-03-16-01,156805,1479.024,7096.199,457.905,436.008,4.349,0.876,1.05,0.952,0.994
55,2018-03-16-01,160301,2416.125,7097.281,465.992,437.994,0.476,0.868,1.064,0.94,0.993
56,2018-03-16-01,159326,4295.128,7100.247,472.435,429.392,2.069,0.877,1.1,0.909,0.994
57,2018-03-16-01,157175,3352.347,7100.033,465.949,429.492,4.003,0.881,1.085,0.922,0.994
58,2018-03-16-01,157768,6181.673,7104.389,459.796,436.882,174.737,0.876,1.052,0.95,0.993
59,2018-03-16-01,155429,5239.884,7108.993,465.795,424.861,0.279,0.862,1.096,0.912,0.991
60,2018-03-16-01,156244,1011.046,7907.447,454.764,437.449,3.449,0.878,1.04,0.962,0.994
61,2018-03-16-01,159080,2882.332,7910.803,463.862,436.654,2.584,0.88,1.062,0.941,0.994
62,2018-03-16-01,157458,1946.824,7910.936,462.523,433.452,2.717,0.869,1.067,0.937,0.993
63,2018-03-16-01,157585,3821.98,7912.774,465.42,431.102,179.406,0.882,1.08,0.926,0.994
64,2018-03-16-01,157730,5708.525,7917.915,463.071,433.688,175.807,0.865,1.068,0.937,0.993
65,2018-03-16-01,156366,4765.13,7917.666,470.288,423.339,178.438,0.864,1.111,0.9,0.993
66,2018-03-16-01,153416,546.315,8720.142,450.554,433.545,13.406,0.866,1.039,0.962,0.993
